Epoch 0/199
----------
model_train
0/3126,train_loss:186.810333251953125
1/3126,train_loss:309.397064208984375
2/3126,train_loss:277.565460205078125
3/3126,train_loss:122.207077026367188
4/3126,train_loss:156.136215209960938
5/3126,train_loss:105.450622558593750
6/3126,train_loss:92.441558837890625
7/3126,train_loss:79.965499877929688
8/3126,train_loss:78.197776794433594
9/3126,train_loss:70.336494445800781
10/3126,train_loss:59.142223358154297
11/3126,train_loss:56.276294708251953
12/3126,train_loss:49.039428710937500
13/3126,train_loss:46.047847747802734
14/3126,train_loss:44.023372650146484
15/3126,train_loss:41.483951568603516
16/3126,train_loss:36.758697509765625
17/3126,train_loss:36.012828826904297
18/3126,train_loss:36.088245391845703
19/3126,train_loss:34.742099761962891
20/3126,train_loss:31.794454574584961
21/3126,train_loss:31.754499435424805
22/3126,train_loss:30.834547042846680
23/3126,train_loss:29.996797561645508
24/3126,train_loss:29.238876342773438
25/3126,train_loss:28.372684478759766
26/3126,train_loss:29.011302947998047
27/3126,train_loss:28.097219467163086
28/3126,train_loss:28.116046905517578
29/3126,train_loss:27.417587280273438
30/3126,train_loss:26.890392303466797
31/3126,train_loss:27.018640518188477
32/3126,train_loss:26.797309875488281
33/3126,train_loss:26.701593399047852
34/3126,train_loss:26.120149612426758
35/3126,train_loss:24.978181838989258
36/3126,train_loss:25.312866210937500
37/3126,train_loss:25.895023345947266
38/3126,train_loss:25.540443420410156
39/3126,train_loss:25.681726455688477
40/3126,train_loss:24.749761581420898
41/3126,train_loss:24.246629714965820
42/3126,train_loss:26.085395812988281
43/3126,train_loss:25.057121276855469
44/3126,train_loss:24.349370956420898
45/3126,train_loss:23.999980926513672
46/3126,train_loss:24.527477264404297
47/3126,train_loss:24.361614227294922
48/3126,train_loss:23.155183792114258
49/3126,train_loss:24.454828262329102
50/3126,train_loss:23.975566864013672
51/3126,train_loss:23.822372436523438
52/3126,train_loss:24.588968276977539
53/3126,train_loss:24.156999588012695
54/3126,train_loss:23.744316101074219
55/3126,train_loss:23.544975280761719
56/3126,train_loss:23.436557769775391
57/3126,train_loss:22.531898498535156
58/3126,train_loss:23.934839248657227
